nameseq,fickett_score-ORF,fickett_score-full-sequence
1_100347493_100347558,0.8223,0.41104
1_100348261_100348393,0.6975000000000001,0.31505
1_100348797_100348914,0.8836999999999999,0.40288
1_100349033_100349168,0.5599000000000001,0.27946
1_100349240_100350565,0.4357,0.3541
1_100350599_100350840,0.7608,0.41262
1_100352343_100366093,0.5076999999999999,0.36913
1_100357638_100365005,0.4132,0.3525
1_100366078_100384502,0.3825,0.34952
1_10036801_10037025,0.4575,0.36902
1_10037628_10046149,0.4574,0.30817
1_100384214_100384503,0.8025,0.38002
1_100384803_100384982,0.7178999999999999,0.42077
1_100389268_100393537,0.3772999999999999,0.3126
1_100394049_100394341,0.4644999999999999,0.3464399999999999
1_100394343_100395415,0.3654,0.32101
1_100395045_100395336,0.5409,0.3819
1_100395429_100395476,0.7389000000000001,0.3998199999999999
1_100395511_100395755,0.6673,0.43214
1_100395540_100395676,0.8543999999999999,0.4384399999999999
1_100395773_100396051,0.5119,0.39813
1_100395774_100396054,0.4871,0.3776299999999999
1_100396204_100396556,0.3929999999999999,0.3556899999999999
1_100396599_100405832,0.3772999999999999,0.2895
1_1004041_1010406,0.4911999999999999,0.33334
1_100406406_100426632,0.3493999999999999,0.28334
1_100412606_100420104,0.3493999999999999,0.28334
1_100420539_100420855,0.6269,0.3549799999999999
1_100423678_100426632,0.4493,0.3757399999999999
1_100426872_100444449,0.3818,0.32557
1_100444569_100451726,0.3739,0.27029
1_100445091_100458754,0.3666999999999999,0.2849
1_100452974_100453816,0.6324000000000001,0.37827
1_100456068_100456331,0.7131,0.40548
1_100459719_100459929,1.0721,0.42785
1_100463638_100465494,0.5622999999999999,0.44035
1_100465823_100475171,0.4016,0.32663
1_100465823_100496724,0.389,0.28584
1_100475203_100477396,0.3707,0.29335
1_100479046_100491823,0.3567999999999999,0.30411
1_10049062_10052308,0.4869,0.35388
1_100493099_100496614,0.7139,0.37761
1_100497001_100518150,0.4739,0.27739
1_100518151_100529281,0.4304,0.3910399999999999
1_100518157_100518850,0.4468,0.32367
1_100519446_100528850,0.4359,0.38852
1_100529200_100534140,0.5032,0.4321899999999999
1_10053046_10057061,0.3611,0.3280999999999999
1_100530557_100533829,0.7231000000000001,0.4903
1_100534248_100534979,0.7366,0.42487
1_100534561_100555585,0.3827,0.31793
1_100538401_100541312,0.4068,0.3865499999999999
1_100543915_100551327,0.3825,0.29772
1_100555584_100583847,0.3827,0.31793
1_100578036_100593232,0.3813,0.2908799999999999
1_10057836_10058209,0.6619999999999999,0.3606399999999999
1_100583849_100593073,0.3813,0.28683
1_10058533_10059158,0.407,0.3443
1_100593709_100593857,1.0365,0.42808
1_100593868_100594909,0.5408,0.39393
1_100594921_100594961,0.5093,0.30011
1_100594987_100595453,0.6503,0.4258999999999999
1_100595485_100611151,0.389,0.33764
1_100596859_100607539,0.4124,0.36522
1_10059967_10060458,1.1069,0.39731
1_10060461_10060614,0.8705,0.38024
1_10060799_10061198,0.7803999999999999,0.40373
1_100611493_100611638,0.8505,0.4022099999999999
1_100612016_100612180,0.842,0.40881
1_100612529_100612713,0.7757999999999999,0.38166
1_100613156_100613673,1.1781,0.45886
1_10061445_10061625,0.7487,0.41533
1_10061445_10061628,0.6836,0.39318
1_100616678_100621154,0.3703999999999999,0.34952
1_100621452_100621870,0.9003,0.46595
1_100622808_100622952,0.6801000000000001,0.43257
1_100622809_100622947,0.7529000000000001,0.45418
1_100624366_100630118,0.4682,0.3827899999999999
1_100633945_100634227,0.5505,0.33943
1_10063630_10063999,0.6060000000000001,0.4355
1_100637031_100637187,1.0344,0.40281
1_100639942_100640172,0.5648000000000001,0.30203
1_100640578_100640704,0.8807,0.3875
1_100642087_100644641,0.3825,0.29772
1_100645099_100646299,0.5021,0.3579299999999999
1_100647450_100647533,1.0510000000000002,0.4120999999999999
1_100647782_100647876,0.7191000000000001,0.42642
1_100647782_100648240,0.5348999999999999,0.41149
1_100648602_100648970,0.9501,0.4747999999999999
1_100649058_100649225,0.7149,0.3301499999999999
1_100651449_100651611,1.1321,0.38719
1_100653406_100653728,0.9273,0.4101899999999999
1_100653810_100671304,0.4248999999999999,0.28014
1_10065382_10066176,0.4327999999999999,0.33108
1_100661653_100684764,0.3706,0.31793
1_10066207_10066493,0.5055,0.34135
1_10066447_10068513,0.3441999999999999,0.31512
1_10066696_10084018,0.3718,0.29202
1_100671307_100684764,0.4092,0.35736
1_100684803_100685481,0.5096999999999999,0.38491
1_100685017_100685481,0.432,0.34437
1_100685708_100685798,1.1542,0.38779
1_100686967_100687362,0.8123,0.4207
1_100689435_100689512,0.9021,0.37992
1_100690458_100690544,0.9459,0.39468
1_100690579_100701464,0.3928,0.29332
1_100701532_100701716,0.4312,0.34282
1_100701817_100701890,1.2085,0.41806
1_100701965_100702060,0.8199,0.3795
1_10070356_10070500,0.5951,0.39873
1_100704294_100704455,0.5068,0.31971
1_100704478_100705048,0.5064,0.30385
1_100704888_100705048,0.7174,0.35385
1_100708392_100708776,0.5005999999999999,0.41647
1_100709730_100709861,0.9572,0.37494
1_100710106_100710539,0.6332999999999999,0.36656
1_100710106_100710591,0.6634,0.3914299999999999
1_100711476_100711780,0.4417,0.30365
1_100712325_100731000,0.4508,0.27251
1_100731024_100731251,1.2474,0.4113199999999999
1_100731078_100731251,1.1564,0.40884
1_100731253_100732091,0.7021999999999999,0.34497
1_100732367_100732959,0.9553,0.42119
1_100734543_100739076,0.5363,0.3454399999999999
1_100739939_100743933,1.2007,0.45862
1_100745577_100750059,0.6323000000000001,0.36148
1_100751038_100751254,1.0065,0.45467
1_100752759_100754817,0.3737,0.3067299999999999
1_100754870_100758249,0.3541999999999999,0.3
1_100757986_100758069,0.8096000000000001,0.3963399999999999
1_100758772_100778600,0.4042,0.3503699999999999
1_100758828_100766948,0.4513999999999999,0.29705
1_100768459_100768826,0.9414,0.4015499999999999
1_100768856_100770604,0.7007,0.4270900000000001
1_100771076_100779203,0.4679999999999999,0.3629799999999999
1_100778779_100791455,0.3964,0.30661
1_100779251_100779858,1.004,0.42843
1_100785908_100785970,1.1556,0.3951699999999999
1_100792083_100793238,0.7253000000000001,0.42
1_100793662_100793960,1.0635,0.45477
1_100794429_100796490,0.3782999999999999,0.32194
1_100796652_100796891,0.4049,0.30205
1_100796652_100796911,0.4036,0.26199
1_100797039_100823119,0.3703999999999999,0.29367
1_100801347_100804834,0.3806,0.33535
1_100804914_100805390,0.4855,0.38736
1_100805516_100806358,0.3856,0.33371
1_100811602_100811643,1.0283,0.36321
1_100811665_100823119,0.3866,0.3081
1_100823127_100823879,0.5298,0.33133
1_100823886_100824468,0.6605,0.43549
1_10082415_10090495,0.3827,0.28923
1_100824625_100824799,0.8071,0.39285
1_100824971_100835271,0.4786,0.30781
1_100828060_100834166,0.4734,0.33959
1_100835339_100836052,0.9607,0.43977
1_100835757_100836052,1.011,0.44249
1_100836910_100859821,0.4809,0.35154
1_100837089_100837383,0.8637000000000001,0.40881
1_100838202_100838301,0.4103,0.29168
1_100838615_100838787,0.9824000000000002,0.42389
1_100838848_100839072,1.1579,0.42015
1_100839621_100839715,1.0806,0.37283
1_100839835_100839964,0.6744,0.38695
1_100841825_100842154,1.0096,0.4411299999999999
1_100842726_100843020,1.0425000000000002,0.3432199999999999
1_100843073_100843180,1.312,0.40048
1_100843384_100847166,1.2147,0.46393
1_100847203_100853117,0.4926,0.27382
1_100853176_100859822,0.4212,0.25931
1_100859933_100868546,0.4676,0.28567
1_100859933_100880876,0.5327,0.39469
1_100874750_100880876,1.1155,0.4686499999999999
1_10087896_10088483,0.6229,0.35968
1_100880979_100887455,0.5159,0.31561
1_100880979_100902805,0.4163,0.27732
1_100893689_100898148,0.4086999999999999,0.29983
1_100902807_100904974,1.0159000000000002,0.45737
1_100904309_100904353,0.8917999999999999,0.3586
1_10090513_10090568,1.2409,0.3786
1_100905950_100906379,0.7113,0.3271
1_100906727_100945564,0.4569999999999999,0.29351
1_10090778_10092625,0.5938999999999999,0.4228499999999999
1_100927666_100927932,0.4555999999999999,0.36621
1_100930019_100936214,0.4888,0.29826
1_10093260_10111265,0.4391,0.3961599999999999
1_100938123_100938261,1.1992,0.40672
1_10094452_10094612,0.5141,0.34611
1_100945566_100949196,0.4002,0.34279
1_100945898_100948391,0.3792,0.3455399999999999
1_10094785_10112838,0.4391,0.3921099999999999
1_100949198_100951388,0.5913,0.38794
1_100951399_100956066,0.4343999999999999,0.33187
1_100955044_100955132,0.5632999999999999,0.4104299999999999
1_100956081_100956263,0.6525,0.38165
1_100956804_100959564,0.5758,0.40125
1_100957759_100966850,0.4352,0.3635199999999999
1_100959574_100963891,0.5146999999999999,0.38331
1_100966847_100970784,0.4572,0.38565
1_100970896_100971001,1.1651,0.39347
1_100971102_100976694,0.5169,0.33692
1_100975022_100976508,0.4125,0.35451
1_100977009_100977168,0.7379,0.4399099999999999
1_100977177_100977678,0.4580999999999999,0.37139
1_100978001_100991998,0.4037,0.3095799999999999
1_100984602_100985177,0.5213,0.41429
1_100991899_100992902,0.4938999999999999,0.34922
1_100993121_100993657,0.3685,0.31436
1_100993705_101003205,0.4229,0.28496
1_101003205_101003421,0.6699999999999999,0.45651
1_101003640_101004035,0.9733,0.47009
1_101004111_101019608,0.4224,0.30809
1_101004114_101004685,0.9599,0.48541
1_101019610_101036717,0.3692,0.31553
1_101025255_101043691,0.3692,0.31553
1_101038879_101064363,0.4095999999999999,0.27938
1_1010425_1011350,0.8451000000000001,0.40504
1_1010447_1010477,1.0965000000000005,0.4346
1_101049723_101049886,1.0449000000000002,0.42317
1_101050028_101080607,0.3953,0.28007
1_101079938_101079982,0.4874,0.28423
1_101080609_101080663,1.0016,0.3491499999999999
1_101081598_101081932,1.0991,0.45727
1_101082493_101083840,0.9534,0.47102
1_101082510_101083424,0.9228,0.47284
1_101083862_101084290,0.8422000000000001,0.47916
1_101084514_101085022,0.8633,0.4725
1_101085058_101085300,0.8930000000000001,0.4477
1_101085730_101085854,1.2758,0.4502299999999999
1_101090953_101091234,0.9046,0.4694
1_101090957_101091235,0.8777,0.47014
1_101091237_101091362,0.8916000000000001,0.40585
1_101091243_101091363,0.9034,0.40215
1_101091369_101091574,0.5801,0.34046
1_101091874_101127602,0.4111,0.3072499999999999
1_101092187_101115974,0.4676,0.28567
1_101116162_101117148,0.3945999999999999,0.34251
1_101117902_101125618,0.4861,0.34341
1_10112589_10112661,1.0823,0.44499
1_101128562_101130811,0.3671,0.29456
1_101130956_101131605,0.7808,0.43717
1_101131306_101131646,1.1653,0.43998
1_101131659_101132038,0.4120999999999999,0.30199
1_101132216_101132840,0.6871,0.41318
1_10113255_10113405,0.6706,0.38619
1_10113258_10113478,0.7147,0.44319
1_101132839_101174151,0.4931,0.29897
1_10113550_10113638,0.7308000000000001,0.36178
1_101139505_101150703,0.6012,0.37119
1_1011548_1011641,1.1898,0.4065899999999999
1_101156647_101156884,0.9014,0.46725
1_10115924_10116651,0.407,0.33782
1_101165013_101165186,1.1554,0.42324
1_1011662_1011753,0.9695,0.38958
1_101174183_101176283,0.4959999999999999,0.33865
1_101176769_101176999,0.6615,0.37338
1_101180190_101181477,0.9854,0.46316
1_101181625_101183462,0.77,0.475
1_101183470_101198434,0.3777999999999999,0.34314
1_101183470_101199830,0.3829999999999999,0.33446
1_10119246_10124834,0.4255,0.2971
1_101198466_101201880,0.5833999999999999,0.40573
1_101203232_101211822,0.5239,0.37694
1_101203289_101207516,0.8354,0.40409
1_101207720_101235222,0.3852,0.32157
1_101218551_101223818,0.4215,0.3646399999999999
1_101224418_101235222,0.482,0.31237
1_101235224_101236372,0.6009,0.44259
1_101236759_101236977,0.616,0.38437
1_101237181_101240860,0.4002,0.34279
1_101237419_101245600,0.4107999999999999,0.30961
1_101241128_101241277,0.6245,0.37414
1_101241645_101241915,0.5568,0.3486899999999999
1_101242057_101245509,0.4366,0.33147
1_101246312_101246719,0.9053,0.46401
1_101246727_101248700,0.8236000000000001,0.50162
1_101246727_101274833,0.3718,0.29607
1_101249184_101274833,0.3718,0.29607
1_10126339_10126697,0.8558,0.4788999999999999
1_10127200_10128156,0.8272,0.4261
1_101274953_101276015,0.6502,0.4025099999999999
1_101276137_101293511,0.4789,0.3684199999999999
1_101276497_101292009,0.4789,0.3684199999999999
1_101292577_101302581,0.5051,0.34035
1_101303800_101304163,0.8376000000000001,0.4504399999999999
1_101304318_101306778,0.6389,0.43358
1_101307241_101357258,0.3827,0.28923
1_1013107_1013208,0.7304999999999999,0.43961
1_101314023_101314158,0.9554,0.47628
1_101315145_101327179,0.3916,0.31518
1_101328610_101335349,0.4007,0.3346699999999999
1_1013347_1013476,0.4539999999999999,0.34053
1_101335504_101336074,0.7399,0.37293
1_101339464_101339607,0.6255999999999999,0.38213
1_101339695_101360528,0.3718,0.29607
1_101360529_101361481,0.547,0.37339
1_101361493_101361907,0.5853999999999999,0.4347
1_101361911_101362394,0.7613,0.45125
1_101361911_101363207,0.5822999999999999,0.32922
1_101362397_101363207,0.6605000000000001,0.3197899999999999
1_101363209_101374509,0.473,0.38558
1_101363209_101385803,0.5115,0.32494
1_101379331_101379508,0.8490000000000001,0.39217
1_101382548_101382846,0.5895,0.33278
1_101383552_101383828,0.9156,0.41397
1_101383882_101385878,0.4517,0.35501
1_101386855_101387430,0.4237,0.32156
1_101388391_101388929,0.4669,0.3514
1_101388942_101420398,0.4643,0.29776
1_101389014_101390440,0.5429999999999999,0.31896
1_101399957_101400473,0.7377,0.47008
1_10141680_10146945,0.4786,0.27911
1_101420395_101429657,0.3866,0.27292
1_101427760_101447782,0.3706,0.28923
1_101432256_101434020,0.7115,0.45179
1_101434022_101443400,0.3706,0.28518
1_101444366_101448851,0.5425,0.39076
1_101447802_101448767,0.5325,0.3768
1_101449074_101453653,0.3953,0.30132
1_101449384_101452497,0.4163,0.29857
1_101452517_101452601,1.118,0.4112
1_101452872_101453569,0.4603,0.36141
1_101453876_101456963,0.3832,0.32442
1_101454186_101456963,0.3718,0.31917
1_101456976_101460291,0.3706,0.28518
1_101460295_101465735,0.5355,0.35628
1_101465810_101465947,1.0082,0.42547
1_101468857_101470737,0.3611,0.2994
1_101471677_101472200,0.5508,0.39947
1_101471678_101472200,0.5508,0.39947
1_101472322_101474523,0.3707,0.34515
1_101474990_101475833,0.6174,0.38352
1_101475867_101475939,1.129,0.4543899999999999
1_101476390_101477017,1.0846,0.44461
1_101476390_101477151,0.9603,0.46277
1_101477244_101477600,1.1684,0.44856
1_101477667_101478187,1.0708,0.42679
1_101478263_101478496,0.4309999999999999,0.37552
1_101478627_101481904,0.4745,0.36241
1_101479978_101482281,0.5883999999999999,0.37081
1_101482012_101482127,1.2319,0.4191399999999999
1_101483276_101483315,0.5038,0.3002599999999999
1_101483388_101484139,0.8941000000000001,0.34115
1_101484445_101484501,0.7344,0.324
1_10148553_10148665,0.9243,0.42624
1_10148570_10148682,1.104,0.4488499999999999
1_10148683_10148699,0.8035,0.33476
1_10151117_10151290,1.0743,0.36748
1_101524383_101541722,0.3827,0.28923
1_101524459_101525142,0.871,0.4759
1_101526038_101527752,0.4229,0.36078
1_101527755_101557052,0.3827,0.28923
1_10153098_10153216,0.6053000000000002,0.31913
1_10153131_10153187,0.7077,0.36621
1_10154103_10154224,0.5793999999999999,0.3992
1_10155719_10155858,0.6083999999999999,0.36802
1_101560743_101560888,0.8513,0.41652
1_101566936_101585916,0.4019,0.3123599999999999
1_10157179_10157867,0.3776,0.35313
1_101575936_101585916,0.3953,0.34907
1_101585938_101585970,0.9596,0.29252
1_101587856_101588671,0.5693,0.38405
1_101590040_101590138,0.6194,0.37933
1_101590054_101590136,0.6191,0.40269
1_101590353_101590660,0.4905,0.3741799999999999
1_101590755_101590828,1.2025,0.3877299999999999
1_101591036_101592811,0.6954999999999999,0.34948
1_101593478_101593821,0.5246999999999999,0.32452
1_101594099_101594225,0.7182999999999999,0.34845
1_101594241_101597212,0.4732,0.25311
1_101594303_101597018,0.4628,0.25127
1_10159464_10175052,0.451,0.4046499999999999
1_101597879_101598222,1.0263,0.4138799999999999
1_101598501_101598627,0.9822,0.30595
1_101598865_101601089,1.3072,0.41403
1_101604546_101604856,0.8354000000000001,0.34921
1_101605154_101620669,0.4384,0.28338
1_101616758_101621254,0.4110999999999999,0.3378
1_10161727_10161829,0.5912999999999999,0.37917
1_101620699_101628624,0.4382,0.29187
1_101621256_101630434,0.4382,0.29187
1_10162315_10162353,0.9814,0.41863
1_101630504_101630585,0.6953,0.3374399999999999
1_101630909_101634435,0.5555000000000001,0.35762
1_101634086_101637254,0.4177,0.3223399999999999
1_101637256_101661351,0.4042,0.29857
1_101637256_101662978,0.4042,0.29857
1_101663058_101671264,0.4802,0.28959
1_10166597_10185834,0.3718,0.32072
1_101672555_101688120,0.3766,0.32422
1_101674829_101685698,0.3766,0.30112
1_101685704_101686436,0.3563,0.3216
1_101687916_101689125,0.4859,0.40568
1_101688233_101689085,0.4935,0.40152
1_101689111_101692970,0.3619999999999999,0.30191
1_101691778_101691841,0.7984000000000001,0.45613
1_101693085_101703808,0.4387999999999999,0.28091
1_101702820_101703220,0.5815000000000001,0.42238
1_101703806_101704538,0.4574999999999999,0.38299
1_101704336_101711148,0.3615,0.31292
1_101708265_101708472,0.8747,0.37644
1_101709953_101710016,1.1155,0.43393
1_101711263_101718935,0.5076999999999999,0.36913
1_101722554_101752372,0.3775,0.3497099999999999
1_101727447_101737850,0.4037,0.3095799999999999
1_1017419_1020892,0.4971,0.3656
1_10175055_10175153,1.008,0.42317
1_101752147_101752463,1.0764,0.41424
1_101752559_101752638,0.7255,0.44205
1_101752826_101752907,1.0326,0.43859
1_101753440_101753530,0.8392000000000001,0.46247
1_101754636_101755213,0.7245,0.46376
1_101755408_101756052,0.5224,0.36956
1_101756054_101757044,0.5144,0.38432
1_101756861_101757038,0.9653,0.4405099999999999
1_101757751_101757861,0.7208,0.38396
1_101757949_101759803,0.4553,0.31797
1_101759603_101772752,0.3827,0.34103
1_101773715_101773784,0.6296,0.4096
1_101774108_101774957,0.6101,0.4520699999999999
1_101775164_101809956,0.4709,0.28415
1_101778411_101778654,0.6490999999999999,0.39546
1_101780101_101780268,0.8612,0.38457
1_10179058_10179140,1.3438,0.42375
1_101791790_101791940,0.6327999999999999,0.35308
1_10179277_10179340,0.5911999999999998,0.3959
1_10179418_10179467,0.5918,0.29097
1_101812100_101812511,1.2513,0.4365699999999999
1_101812799_101814146,1.273,0.45224
1_101823830_101844802,0.3827,0.28923
1_101825287_101844632,0.3654,0.29791
1_101846126_101852544,0.3493999999999999,0.2921
1_101852323_101880076,0.3832,0.30132
1_101857395_101883005,0.3916,0.28648
1_10186028_10186596,0.5,0.35619
1_10186666_10186999,0.7684000000000002,0.41649
1_10187003_10193499,0.4124,0.3742999999999999
1_101881161_101881250,0.7668999999999999,0.3458
1_101882387_101884487,0.4957,0.31797
1_101884773_101888030,0.4273,0.28927
1_101885687_101886133,0.488,0.3690799999999999
1_101888112_101888317,0.4180999999999999,0.32375
1_101888517_101895909,0.4574,0.33139
1_101888517_101895989,0.4574,0.33139
1_101896771_101897128,0.5567,0.40527
1_101899435_101900217,0.4602,0.35427
1_101899828_101899933,0.808,0.41696
1_101900722_101901161,0.8641000000000001,0.37348
1_101901456_101901992,0.5532,0.39097
1_101901999_101902187,0.9732,0.37997
1_101902456_101904680,0.4634999999999999,0.29705
1_101902457_101902497,0.7890999999999999,0.36258
1_101905083_101907075,0.4177,0.26934
1_101905843_101906229,0.4653,0.33604
1_101907576_101920320,0.5115,0.32494
1_101912079_101918175,0.5417,0.37395
1_101920011_101925532,0.4642999999999999,0.27651
1_101920581_101920656,0.7066,0.4056499999999999
1_101926448_101926939,0.9545,0.4347
1_101926941_101929391,0.8264,0.46382
1_101928410_101928446,1.2292,0.42184
1_101929666_101930120,1.2661,0.45017
1_101930839_101931364,0.5392999999999999,0.39868
1_101932141_101954252,0.4845,0.33027
1_10193537_10193946,0.7646,0.37078
1_10195273_10197424,0.6217,0.33307
1_101954248_101954716,0.7672000000000001,0.4323
1_101954786_101954861,0.8865000000000001,0.35682
1_101955615_101955716,0.552,0.39299
1_101955868_101959306,0.3902,0.29268
1_101955962_101956054,0.4859,0.39571
1_101959310_101962891,0.5346,0.33947
1_101961942_101963410,0.5278,0.42939
1_101963574_101964688,0.7365,0.44742
1_101964727_101965201,0.5203,0.42128
1_101965978_101966039,0.7127,0.41804
1_101966046_101966162,0.8346000000000001,0.38461
1_101966573_101975683,0.3953,0.33002
1_101975715_101976204,0.8459,0.42424
1_101976199_101976249,0.8379,0.39752
1_101976671_101977065,0.5248999999999999,0.36945
1_101977086_101977189,0.9752,0.42184
1_101977520_101977652,0.5267,0.39377
1_101977869_101995633,0.3901,0.31
1_101977874_101994801,0.3955,0.34335
1_10198557_10198961,0.9385,0.45945
1_10199084_10214997,0.3965,0.30816
1_10199093_10215586,0.3965,0.30816
1_101998350_101998457,1.2381,0.39143
1_101999533_102008731,0.4508,0.27251
1_102008796_102009152,0.4628,0.38306
1_102010024_102010117,0.8466,0.402
1_102010403_102010811,0.8236,0.37706
1_102010794_102010857,0.7286999999999999,0.37801
1_102010977_102012791,0.6847,0.35699
1_102013140_102020520,0.3676999999999999,0.29667
1_102013157_102020520,0.3676999999999999,0.29667
1_102020847_102020963,0.5761999999999999,0.38897
1_102021053_102021232,0.7922999999999999,0.37506
1_102021499_102021726,0.4576,0.4012
1_102022984_102023045,0.9177,0.42396
1_102023266_102023432,1.3064,0.36325
1_102024399_102024582,0.5435,0.32959
1_102026481_102026551,0.8855999999999999,0.38561
1_102026489_102026781,0.5548,0.41117
1_102027276_102027390,1.002,0.4307500000000001
1_102027538_102027734,1.07,0.4536
1_102030297_102052495,0.4873,0.36113
1_102041992_102042806,0.6374,0.42178
1_102052789_102053085,0.6789000000000001,0.4358
1_102053350_102054043,0.9765,0.36915
1_102054874_102054962,0.8591,0.37539
1_102055391_102066483,0.4093,0.33158
1_102062924_102063066,0.6215000000000002,0.38151
1_102068580_102068648,0.8246,0.39746
1_102068923_102068999,0.5141,0.35886
1_102069067_102069784,0.6627000000000001,0.43555
1_102070474_102070943,0.8612000000000001,0.39207
